كلمة,слово,learned,last_review,interval
رَبٌّ,Господь,False,,1
رَحْمَٰنٌ,Милостивый,False,,1
رَحِيمٌ,Милосердный,False,,1
دِينٌ,Религия,False,,1
صِرَاطٌ,Путь,False,,1
هُدًى,Наставление,False,,1
كِتَابٌ,Книга,False,,1
إِيمَانٌ,Вера,False,,1
غَيْبٌ,Сокровенное,False,,1
صَلَاةٌ,Молитва,False,,1
زَكَاةٌ,Закят,False,,1
كَافِرٌ,Неверующий,False,,1
مُؤْمِنٌ,Верующий,False,,1
آيَةٌ,Знамение,False,,1
نَارٌ,Огонь,False,,1
جَنَّةٌ,Рай,False,,1
عِلْمٌ,Знание,False,,1
حِكْمَةٌ,Мудрость,False,,1
صَبْرٌ,Терпение,False,,1
شُكْرٌ,Благодарность,False,,1
ذِكْرٌ,Поминание,False,,1
رَحْمَةٌ,Милость,False,,1
مَغْفِرَةٌ,Прощение,False,,1
عَذَابٌ,Наказание,False,,1
تَوْبَةٌ,Покаяние,False,,1
دُعَاءٌ,Мольба,False,,1
حَقٌّ,Истина,False,,1
بَاطِلٌ,Ложь,False,,1
نُورٌ,Свет,False,,1
ظُلُمَاتٌ,Тьма,False,,1
أَرْضٌ,Земля,False,,1
سَمَاءٌ,Небо,False,,1
مَاءٌ,Вода,False,,1
شَمْسٌ,Солнце,False,,1
قَمَرٌ,Луна,False,,1
نَجْمٌ,Звезда,False,,1
بَحْرٌ,Море,False,,1
جَبَلٌ,Гора,False,,1
شَجَرَةٌ,Дерево,False,,1
ثَمَرٌ,Плод,False,,1
حَيَاةٌ,Жизнь,False,,1
مَوْتٌ,Смерть,False,,1
آخِرَةٌ,Последняя жизнь,False,,1
دُنْيَا,Мирская жизнь,False,,1
قِيَامَةٌ,Воскресение,False,,1
حِسَابٌ,Расчёт,False,,1
مِيزَانٌ,Весы,False,,1
فَوْزٌ,Успех,False,,1
خُسْرَانٌ,Потеря,False,,1
خَيْرٌ,Добро,False,,1
شَرٌّ,Зло,False,,1
حَلَالٌ,Дозволенное,False,,1
حَرَامٌ,Запретное,False,,1
بَرَكَةٌ,Благословение,False,,1
رِزْقٌ,Удел,False,,1
نِعْمَةٌ,Благо,False,,1
فَضْلٌ,Милость,False,,1
قَلْبٌ,Сердце,False,,1
نَفْسٌ,Душа,False,,1
رُوحٌ,Дух,False,,1
عَقْلٌ,Разум,False,,1
فِكْرٌ,Мысль,False,,1
خَوْفٌ,Страх,False,,1
أَمَلٌ,Надежда,False,,1
حُبٌّ,Любовь,False,,1
حُزْنٌ,Печаль,False,,1
